取	qu3	to take / to get / to choose / to fetch	qu	Ø3	又耳
又	you4	(once) again / also / both... and... / and yet / (used for emphasis) anyway	y	ou4	㇇
㇇					
耳	er3	ear / handle (archaeology) / and that is all (classical Chinese)	Ø	Ø3	㔿二
㔿					
乹	gan1	old variant of 乾|干[gan1]	g	an1	乚十早
干	gan1	old variant of 乾|干[gan1]	g	an1	一十
早	zao3	early / morning / Good morning!	z	ao3	十日
乾	gan1	surname Gan	g	an1	乞車
干	gan1	surname Gan	g	an1	一十
乞	qi3	to beg	qi	Ø3	𠂉乙
𠂉					
乙	yi3	second of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / second in order / letter "B" or roman "II" in list "A, B, C", or "I, II, III" etc / second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]) / ethyl / bent / winding / radical in Chinese characters (Kangxi radical 5)	y	Ø3	
乙	zhe2	turning stroke (in Chinese characters) / see also 折[zhe2]	zh	e2	
乾	gan1	dry / clean / in vain / dried food / foster / adoptive / to ignore	g	an1	乞車
干	gan1	dry / clean / in vain / dried food / foster / adoptive / to ignore	g	an1	一十
亁	gan1	variant of 乾|干[gan1]	g	an1	乞十干日
干	gan1	variant of 乾|干[gan1]	g	an1	一十
干	gan1	to concern / to interfere / shield / stem	g	an1	一十
幹	gan4	tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)	g	an4	人十干早
干	gan4	tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)	g	an4	一十
東	dong1	surname Dong	du	(e)ng1	日木
东	dong1	surname Dong	du	(e)ng1	七小
小	xiao3	small / tiny / few / young	xi	ao3	
東	dong1	east / host (i.e. sitting on east side of guest) / landlord	du	(e)ng1	日木
东	dong1	east / host (i.e. sitting on east side of guest) / landlord	du	(e)ng1	七小
絲	si1	silk / thread / trace / CL:條|条[tiao2]	s	Ø1	糸糹
丝	si1	silk / thread / trace / CL:條|条[tiao2]	s	Ø1	一
糸	mi4	fine silk	mi	Ø4	小幺
么	yao1	surname Yao	y	ao1	丿厶
幺	yao1	surname Yao	y	ao1	
丿	pie3	radical in Chinese characters (Kangxi radical 4) / see 撇[pie3]	pi	e3	
么	yao1	youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆[yao1], to shout	y	ao1	丿厶
幺	yao1	youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆[yao1], to shout	y	ao1	
糹					小幺
丞	cheng2	deputy	ch	(e)ng2	一氶
氶					㇖水
丟					厶王
丠	qiu1	old variant of 丘[qiu1]	qi	ou1	一北
北	bei3	north / to be defeated (classical)	b	ei3	匕爿
匕	bi3	dagger / ladle / ancient type of spoon	bi	Ø3	
爿	pan2	classifier for strips of land or bamboo, shops, factories etc / slit bamboo or chopped wood (dialect)	p	an2	
両	liang3	Japanese variant of 兩|两	li	ang3	
丟	diu1	to lose / to put aside / to throw	di	ou1	厶王
丢	diu1	to lose / to put aside / to throw	di	ou1	厶壬
壬	ren2	ninth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / ninth in order / letter "I" or roman "IX" in list "A, B, C", or "I, II, III" etc / nona	r	(e)n2	丿士
士	shi4	surname Shi	sh	Ø4	
士	shi4	member of the senior ministerial class (old) / scholar (old) / bachelor / honorific / first class military rank / specialist worker	sh	Ø4	
王	wang2	surname Wang	w	ang2	
王	wang2	king or monarch / best or strongest of its type / grand / great	w	ang2	
王	wang4	to rule / to reign over	w	ang4	
丣	you3	old variant of 酉[you3]	y	ou3	
兩	liang3	two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)	li	ang3	入帀
两	liang3	two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)	li	ang3	
入	ru4	to enter / to go into / to join / to become a member of / to confirm or agree with / abbr. for 入聲|入声[ru4 sheng1]	ru	Ø4	
帀					一巾
嚴	yan2	surname Yan	y	an2	𠪚吅
严	yan2	surname Yan	y	an2	亚厂
亞	ya4	Asia / Asian / second / next to / inferior / sub- / Taiwan pr. [ya3]	y	a4	
亚	ya4	Asia / Asian / second / next to / inferior / sub- / Taiwan pr. [ya3]	y	a4	二
厂	han3	"cliff" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc	h	an3	
廠	chang3	factory / yard / depot / workhouse / works / (industrial) plant	ch	ang3	广敞
厂	chang3	factory / yard / depot / workhouse / works / (industrial) plant	ch	ang3	
廣	guang3	surname Guang	gu	ang3	广黄
广	guang3	surname Guang	gu	ang3	
黃	huang2	surname Huang or Hwang	hu	ang2	
黄	huang2	surname Huang or Hwang	hu	ang2	
黃	huang2	yellow / pornographic / to fall through	hu	ang2	
黄	huang2	yellow / pornographic / to fall through	hu	ang2	
廣	guang3	wide / numerous / to spread	gu	ang3	广黄
广	guang3	wide / numerous / to spread	gu	ang3	
敞	chang3	open to the view of all / spacious / to open wide / to disclose	ch	ang3	攵
攵					
𠪚					
吅	song4	variant of 訟|讼[song4]	su	(e)ng4	口
口	kou3	mouth / classifier for things with mouths (people, domestic animals, cannons, wells etc) / classifier for bites or mouthfuls	k	ou3	
吅	xuan1	variant of 喧[xuan1]	xu	an1	口
嚴	yan2	tight (closely sealed) / stern / strict / rigorous / severe / father	y	an2	𠪚吅
严	yan2	tight (closely sealed) / stern / strict / rigorous / severe / father	y	an2	亚厂
並					䒑业
喪	sang1	to make funeral arrangements / to be in mourning / corpse (old)	s	ang1	
丧	sang1	to make funeral arrangements / to be in mourning / corpse (old)	s	ang1	
喪	sang4	to lose / to flee / to be defeated / to die	s	ang4	
丧	sang4	to lose / to flee / to be defeated / to die	s	ang4	
個	ge4	individual / this / that / size / classifier for people or objects in general	g	e4	亻固
个	ge4	individual / this / that / size / classifier for people or objects in general	g	e4	丨人
亻	ren2	"person" radical in Chinese characters (Kangxi radical 9)	r	(e)n2	人
固	gu4	hard / strong / solid / sure / assuredly / undoubtedly / of course / indeed / admittedly	gu	Ø4	古囗
古	gu3	surname Gu	gu	Ø3	十口
古	gu3	ancient / old / paleo-	gu	Ø3	十口
囗	wei2	enclosure	w	ei2	
箇	ge4	variant of 個|个[ge4]	g	e4	⺮固
个	ge4	variant of 個|个[ge4]	g	e4	丨人
⺮					
丫	ya1	fork / branch / bifurcation / girl	y	a1	
爿	qiang2	"piece of wood" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]	qi	ang2	
丬	qiang2	"piece of wood" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]	qi	ang2	丨冫
冫	bing1	"ice" radical in Chinese characters (Kangxi radical 15), occurring in 冰, 决, 次 / see also 兩點水|两点水[liang3 dian3 shui3]	bi	(e)ng1	
中	zhong1	China / Chinese / surname Zhong	zhu	(e)ng1	丨口
中	zhong1	within / among / in / middle / center / while (doing sth) / during / (dialect) OK / all right	zhu	(e)ng1	丨口
中	zhong4	to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)	zhu	(e)ng4	丨口
丮	ji3	to catch	ji	Ø3	乁扌
乁					
扌					
丰	feng1	luxuriant / buxom / variant of 豐|丰[feng1] / variant of 風|风[feng1] / appearance / charm	f	(e)ng1	
豐	feng1	surname Feng	f	(e)ng1	𠁳豆
丰	feng1	surname Feng	f	(e)ng1	
𠁳					
荳	dou4	variant of 豆[dou4]	d	ou4	卄豆
豆	dou4	variant of 豆[dou4]	d	ou4	䒑𠮛
䒑					
𠮛					
豆	dou4	bean / pea / CL:棵[ke1],粒[li4] / sacrificial vessel	d	ou4	䒑𠮛
豐	feng1	abundant / plentiful / fertile / plump / great	f	(e)ng1	𠁳豆
丰	feng1	abundant / plentiful / fertile / plump / great	f	(e)ng1	
丱	guan4	two tufts of hair / young / underage	gu	an4	
丱	kuang4	archaic variant of 礦|矿[kuang4]	ku	ang4	
串	chuan4	to string together / to mix up / to conspire / to rove / to make a swift or abrupt linear movement (like a bead on an abacus) / to move across / bunch or cluster / string (computing) / classifier for rows or strings	chu	an4	丨吕
呂	lu:3	surname Lü			丶口
吕	lu:3	surname Lü			口
呂	lu:3	pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system			丶口
吕	lu:3	pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system			口
丳	chan3	skewer	ch	an3	儿吕
臨	lin2	to face / to overlook / to arrive / to be (just) about to / just before	li	(e)n2	臣
临	lin2	to face / to overlook / to arrive / to be (just) about to / just before	li	(e)n2	丩丶
臣	chen2	surname Chen	ch	(e)n2	
臣	chen2	state official or subject in dynastic China / "Your Servant", form of address used when speaking to a ruler / to submit oneself to the rule of or acknowledge allegiance to / to serve a ruler as his subject / Kangxi radical 168	ch	(e)n2	
丸	wan2	ball / pellet / pill	w	an2	丶九
九	jiu3	nine / 9	ji	ou3	
丹	dan1	red / pellet / powder / cinnabar	d	an1	⺆亠
為	wei2	as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice)	w	ei2	灬
为	wei2	as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice)	w	ei2	⺀力
⺀					
力	li4	surname Li	li	Ø4	
力	li4	power / force / strength / ability / strenuously	li	Ø4	
灬					
為	wei4	because of / for / to	w	ei4	灬
为	wei4	because of / for / to	w	ei4	⺀力
爲	wei2	variant of 為|为[wei2] / as (i.e. in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do	w	ei2	灬爫
为	wei2	variant of 為|为[wei2] / as (i.e. in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do	w	ei2	⺀力
爫					
爲	wei4	variant of 為|为[wei4], because of / for / to	w	ei4	灬爫
为	wei4	variant of 為|为[wei4], because of / for / to	w	ei4	⺀力
主	zhu3	owner / master / host / individual or party concerned / God / Lord / main / to indicate or signify / trump card (in card games)	zhu	Ø3	丶王
丼	jing3	bowl of food / well	ji	(e)ng3	丶井
井	jing3	Jing, one of the 28 constellations of Chinese astronomy / surname Jing	ji	(e)ng3	
井	jing3	a well / CL:口[kou3] / neat / orderly	ji	(e)ng3	
麗	li2	Korea	li	Ø2	丽鹿
丽	li2	Korea	li	Ø2	一卪
卪	jie2	archaic variant of 節|节[jie2]	ji	e2	丶卩
卩					
卪	xx5	one of the characters used in kwukyel, an ancient Korean writing system			丶卩
鹿	lu4	deer	lu	Ø4	广
麗	li4	beautiful	li	Ø4	丽鹿
丽	li4	beautiful	li	Ø4	一卪
擧	ju3	variant of 舉|举[ju3]	ju	Ø3	手與
举	ju3	variant of 舉|举[ju3]	ju	Ø3	于兴
于	yu2	surname Yu	yu	Ø2	亅二
于	yu2	to go / to take / sentence-final interrogative particle / variant of 於|于[yu2]	yu	Ø2	亅二
於	yu2	surname Yu	yu	Ø2	仒方
于	yu2	surname Yu	yu	Ø2	亅二
仒	xx5	one of the characters used in kwukyel (phonetic "eo" or "sya"), an ancient Korean writing system			⺀人
方	fang1	surname Fang	f	ang1	
方	fang1	square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter	f	ang1	
於	yu2	in / at / to / from / by / than / out of	yu	Ø2	仒方
于	yu2	in / at / to / from / by / than / out of	yu	Ø2	亅二
興	xing1	surname Xing	xi	(e)ng1	兒同
兴	xing1	surname Xing	xi	(e)ng1	一八小
仝	tong2	(used in given names) / variant of 同[tong2]	tu	(e)ng2	人工
同	tong2	(used in given names) / variant of 同[tong2]	tu	(e)ng2	⺆𠮛
工	gong1	work / worker / skill / profession / trade / craft / labor	gu	(e)ng1	
同	tong2	like / same / similar / together / alike / with	tu	(e)ng2	⺆𠮛
衕	tong4	see 衚衕|胡同[hu2 tong4]	tu	(e)ng4	同行
同	tong4	see 衚衕|胡同[hu2 tong4]	tu	(e)ng4	⺆𠮛
行	hang2	a row / series / age order (of brothers) / profession / professional / relating to company	h	ang2	亍彳
亍	chu4	step with the right foot / see 彳亍[chi4 chu4]	chu	Ø4	亅二
彳	chi4	step with the left foot (Kangxi radical 60) / see also 彳亍[chi4 chu4]	ch	Ø4	
行	xing2	to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense	xi	(e)ng2	亍彳
興	xing1	to rise / to flourish / to become popular / to start / to encourage / to get up / (often used in the negative) to permit or allow (dialect) / maybe (dialect)	xi	(e)ng1	兒同
兴	xing1	to rise / to flourish / to become popular / to start / to encourage / to get up / (often used in the negative) to permit or allow (dialect) / maybe (dialect)	xi	(e)ng1	一八小
興	xing4	feeling or desire to do sth / interest in sth / excitement	xi	(e)ng4	兒同
兴	xing4	feeling or desire to do sth / interest in sth / excitement	xi	(e)ng4	一八小
手	shou3	hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL:雙|双[shuang1],隻|只[zhi1]	sh	ou3	
舉	ju3	to lift / to hold up / to cite / to enumerate / to act / to raise / to choose / to elect / act / move / deed	ju	Ø3	于與
举	ju3	to lift / to hold up / to cite / to enumerate / to act / to raise / to choose / to elect / act / move / deed	ju	Ø3	于兴
乀	fu2	stretch	fu	Ø2	
乀	pie3	variant of 丿[pie3]	pi	e3	
乃	nai3	to be / thus / so / therefore / then / only / thereupon	n	ai3	
廼	nai3	variant of 乃[nai3]	n	ai3	廴西
乃	nai3	variant of 乃[nai3]	n	ai3	
廴					㇋
西	xi1	the West / abbr. for Spain 西班牙[Xi1 ban1 ya2] / Spanish	xi	Ø1	兀囗
西	xi1	west	xi	Ø1	兀囗
迺	nai3	variant of 乃[nai3]	n	ai3	西辶
乃	nai3	variant of 乃[nai3]	n	ai3	
辶	chuo4	to walk (side part of split character)	chu	o4	
久	jiu3	(long) time / (long) duration of time	ji	ou3	㇏勹
㇏					
乆	jiu3	archaic variant of 久[jiu3]	ji	ou3	㇏丩
乇	tuo1	archaic variant of 托[tuo1]	tu	o1	
乇	zhe2	"blade of grass" component in Chinese characters	zh	e2	
義	yi4	justice / righteousness / meaning	y	Ø4	我羊
义	yi4	justice / righteousness / meaning	y	Ø4	丶乄
乄					
我	wo3	I / me / my	w	o3	戈手
戈	ge1	surname Ge	g	e1	丿弋
弋	yi4	to shoot	y	Ø4	
戈	ge1	spear	g	e1	丿弋
羊	yang2	surname Yang	y	ang2	
羊	yang2	sheep / goat / CL:頭|头[tou2],隻|只[zhi1]	y	ang2	
乊	xx5	one of the characters used in kwukyel (phonetic "ho"), an ancient Korean writing system			
之	zhi1	(possessive particle, literary equivalent of 的[de5]) / him / her / it	zh	Ø1	
烏	wu1	abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2] / surname Wu	w	Ø1	
乌	wu1	abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2] / surname Wu	w	Ø1	丶马
馬	ma3	surname Ma / abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]	m	a3	
马	ma3	surname Ma / abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]	m	a3	
馬	ma3	horse / CL:匹[pi3] / horse or cavalry piece in Chinese chess / knight in Western chess	m	a3	
马	ma3	horse / CL:匹[pi3] / horse or cavalry piece in Chinese chess / knight in Western chess	m	a3	
烏	wu1	crow / black	w	Ø1	
乌	wu1	crow / black	w	Ø1	丶马
乍	zha4	at first / suddenly / abruptly / to spread / (of hair) to stand on end / bristling	zh	a4	
乎	hu1	(classical particle similar to 於|于[yu2]) in / at / from / because / than / (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)	hu	Ø1	
乏	fa2	short of / tired	f	a2	丿之
樂	le4	surname Le	l	e4	幺木白
乐	le4	surname Le	l	e4	丿朩
朩	xx5	one of the characters used in kwukyel (phonetic "pin"), an ancient Korean writing system			十小
白	bai2	surname Bai	b	ai2	丶日
白	bai2	white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera	b	ai2	丶日
樂	yue4	surname Yue	yu	e4	幺木白
乐	yue4	surname Yue	yu	e4	丿朩
樂	le4	happy / cheerful / to laugh	l	e4	幺木白
乐	le4	happy / cheerful / to laugh	l	e4	丿朩
樂	yue4	music	yu	e4	幺木白
乐	yue4	music	yu	e4	丿朩
乑	zhong4	to stand side by side / variant of 眾|众[zhong4]	zhu	(e)ng4	
乒	ping1	(onom.) ping / bing	pi	(e)ng1	丘丿
乓	pang1	(onom.) bang	p	ang1	丘丶
喬	qiao2	surname Qiao	qi	ao2	冋呑
乔	qiao2	surname Qiao	qi	ao2	丿夰
夰					儿大
冋					⺆口
呑					口夭
喬	qiao2	tall	qi	ao2	冋呑
乔	qiao2	tall	qi	ao2	丿夰
乕	hu3	archaic variant of 虎[hu3]	hu	Ø3	卩厈
厈					厂干
乖	guai1	(of a child) obedient, well-behaved / clever / shrewd / alert / perverse / contrary to reason / irregular / abnormal	gu	ai1	北千
千	qian1	thousand	qi	an1	丿十
韆	qian1	a swing	qi	an1	遷革
千	qian1	a swing	qi	an1	丿十
遷					辶
革	ge2	animal hide / leather / to reform / to remove / to expel (from office)	g	e2	
乗	cheng2	Japanese variant of 乘[cheng2]	ch	(e)ng2	井禾
禾	he2	cereal / grain	h	e2	丿木
乘	cheng2	surname Cheng	ch	(e)ng2	北禾
乘	cheng2	to ride / to mount / to make use of / to avail oneself of / to take advantage of / to multiply (mathematics) / Buddhist sect or creed	ch	(e)ng2	北禾
乘	sheng4	four horse military chariot (archaic) / four (archaic) / generic term for history books	sh	(e)ng4	北禾
椉	cheng2	old variant of 乘[cheng2]	ch	(e)ng2	亠桀
乘	cheng2	old variant of 乘[cheng2]	ch	(e)ng2	北禾
桀	jie2	(emperor of Xia dynasty) / cruel	ji	e2	木舛
舛	chuan3	mistaken / erroneous / contradictory	chu	an3	㐄夕
㐄	kua4	component in Chinese characters, mirror image of 夂[zhi3]	ku	a4	
夕	xi1	dusk / evening / Taiwan pr. [xi4]	xi	Ø1	
乛	zhe2	variant of 乙[zhe2]	zh	e2	
乜	mie1	to squint / what? (Cantonese) / see also 乜嘢[mie1 ye3]	mi	e1	乚乛
也	ye3	surname Ye	y	e3	丨乜
也	ye3	also / too / (in Classical Chinese) final particle implying affirmation	y	e3	丨乜
習	xi2	surname Xi	xi	Ø2	白羽
习	xi2	surname Xi	xi	Ø2	㇆亠
㇆					
羽	yu3	feather / 5th note in pentatonic scale	yu	Ø3	
習	xi2	to practice / to study / habit	xi	Ø2	白羽
习	xi2	to practice / to study / habit	xi	Ø2	㇆亠
鄉	xiang1	country or countryside / native place / home village or town / township (PRC administrative unit)	xi	ang1	乡郎
乡	xiang1	country or countryside / native place / home village or town / township (PRC administrative unit)	xi	ang1	
郎	lang2	surname Lang	l	ang2	良阝
